,logFC,logCPM,F,PValue,FDR
TOMM20,-0.28649031178468404,7.275497638024781,25.239488540579348,9.98592276749163e-07,2.2521136395338095e-05
CD79B,-0.28655536949302435,4.766966538090782,5.332974418202038,0.021768284388200724,0.09790510265105427
UBE2E1,-0.2866056725804165,4.9442497070769855,9.057441669151425,0.0028960366613539185,0.021563980918113068
RNF130,-0.28680044701596996,4.502782336646239,5.346677463619624,0.021581426092731403,0.09743837324446873
RPL14,-0.28699574909191744,11.785405269433785,85.52803654588453,1.3888654730463477e-17,2.0359899793938805e-15
RPS23,-0.28763718232435026,12.31153921149462,66.34363933258439,2.1783959982862016e-14,1.857973750538286e-12
RPL13,-0.28782699073559914,13.244444966869231,96.69184744294338,2.3623941340485277e-19,4.617496201175685e-17
CYB561,-0.2879141338313056,4.34305402645151,4.199189545113999,0.04144763386621247,0.15747397005103864
SMG6,-0.28856399646987196,4.824768198505431,6.453491852082781,0.011701048736901042,0.06301908108473339
HPCAL1,-0.2894727318659704,5.506408193809825,10.476530335749008,0.001382731346976956,0.012124098595642806
CBWD5,-0.2894882688955468,4.4266853360689415,4.450984706039974,0.035869503014205294,0.14163622781114227
TP53I13,-0.2901299457134057,4.650950264124298,6.750173948565201,0.009942565454639988,0.056345471755338654
ZNF44,-0.290144982461656,4.675545916729553,8.023077568776674,0.005004442658127457,0.03306456409757169
MT-ND5,-0.29195630618645024,10.117498510571368,52.613490158616855,5.755145112246363e-12,3.3746732151934615e-10
KRI1,-0.2919713888803743,4.559180634290683,6.129857295398903,0.0139619709149141,0.07246371634169617
TPT1,-0.2921071328709265,12.189966645411168,12.025093511243515,0.0006233348013434347,0.006148753104151467
FAM3A,-0.2921617615084578,4.518664585772127,5.943697185107559,0.015472595653805711,0.07648415336874884
NR3C1,-0.2934149225358668,5.8243921401792305,15.370631460423612,0.00011591440849597423,0.0014684294628280095
SOD2,-0.2935587491296376,5.3171347269752,8.89185673723141,0.0031642088266030204,0.023019091285822184
